transaction_id,account_id,txn_date,amount,txn_type,category
1,1001,2024-03-01,4500,Credit,Salary
2,1001,2024-03-02,200,Debit,Food
3,1001,2024-03-03,300,Debit,Shopping
4,1002,2024-03-01,3800,Credit,Salary
5,1002,2024-03-05,400,Debit,Utilities
6,1002,2024-03-06,150,Debit,Transport
7,1003,2024-03-02,2000,Credit,Deposit
8,1003,2024-03-08,100,Debit,Fees
9,1004,2024-03-03,4200,Credit,Salary
10,1004,2024-03-04,250,Debit,Food
11,1004,2024-03-07,500,Debit,Shopping
12,1005,2024-03-10,1000,Credit,Deposit
13,1005,2024-03-15,120,Debit,Fees
14,1006,2024-03-02,3500,Credit,Salary
15,1006,2024-03-05,300,Debit,Food
16,1006,2024-03-09,600,Debit,Bills
17,1007,2024-03-03,4100,Credit,Salary
18,1007,2024-03-06,200,Debit,Transport
19,1007,2024-03-07,250,Debit,Food
20,1008,2024-03-04,1500,Credit,Deposit
21,1008,2024-03-10,200,Debit,Fees
22,1009,2024-03-02,3700,Credit,Salary
23,1009,2024-03-03,350,Debit,Shopping
24,1009,2024-03-04,150,Debit,Utilities
25,1010,2024-03-01,3900,Credit,Salary
26,1010,2024-03-03,220,Debit,Food
27,1010,2024-03-05,180,Debit,Transport
28,1010,2024-03-09,350,Debit,Bills
